Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Australia,AUS,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.882670259295548,0.838697807262207,0.704113907966658,0.696665868638096,0.763871249,0.818284082333333,0.901824999,0.873659249,0.894640915666667,0.878244332333333,0.870214582333333,0.985862832333333,1.11001499916667,1.13951916591667,1.4318949995,1.49597416641667,1.42818,1.27990833333333,1.26459666666667,1.28105666666667,1.28375583333333,1.36164833333333,1.47056,1.36775083333333,1.3490325,1.27786333333333,1.34738,1.59182833333333,1.54995,1.72482666666667,1.9334425,1.8405625,1.54191416666667,1.3597525,1.30947333333333,1.3279734405,1.1950725,1.19217833333333,1.28218881008452,1.09015948638677,0.969463201496735,0.965801030658708,1.03584309652054,1.10936329281692,1.33109026245502,1.34521397601947,1.30475807671592,1.33841214646451,1.43850654421382,1.45308511847016,1.33122425957081,1.44166445896522
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Austria,AUT,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,24.9855838961397,23.1153333323333,19.5799999990833,18.692499999,17.4167499991667,17.9396666658333,16.526916666,14.52166666575,13.3674999994167,12.9379999990833,15.9268333323333,17.0592499991667,17.9633333325,20.0090833326667,20.6894999998333,15.2671333333333,12.6425,12.3476666666667,13.2306666666667,11.3698333333333,11.6759166666667,10.9893333333333,11.6321825,11.4218249166667,10.0814958333333,10.5865575,12.2042441666667,12.379065,0.938283072395239,1.08270508132601,1.11653308564468,1.05755899623965,0.884047927184961,0.803921647747605,0.803800192161416,0.796432730949096,0.729672399984088,0.679922680042729,0.716957702016136,0.754308990105979,0.718413898653322,0.778338120416812,0.752945122702002,0.752728196932591,0.901296423367096,0.903421436257288,0.88520550826938,0.846772667108096,0.893276257067393,0.875506396987983,0.845494138890436,0.949623753156941
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01084,0.019995,0.314045,0.8827085,0.860252833333333,0.797075,0.773799686666667,0.824033333333333,0.89483075,0.931316666666667,0.972164166666667,0.982146,0.9826955,0.945421,0.893445,0.858123808243728,0.821619578853046,0.803783333333333,0.80265,0.789686388888889,0.785645349462366,0.784541075268817,0.7843475,1.02456381855059,1.59572157270424,1.72115480222734,1.70001666666667,1.7,1.7,1.7,1.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Bahamas, The",BHS,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bahrain,BHR,..,..,..,..,..,..,0.47618999947619,0.47618999947619,0.47618999947619,0.47618999947619,0.47618999947619,0.474796287589076,0.438597783421538,0.399630307154623,0.394739999,0.395499999,0.395599165666667,0.395649999,0.387453332333333,0.38161749925,0.3770002347101,0.375999999,0.375999999,0.375999999,0.375999999583333,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.375999989166667,0.375999965,0.375999970833333,0.3759999675,0.375999965,0.3759999625,0.375999979166667,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,7.86884258502912,7.7001841681495,7.84981599931742,8.22600224121538,12.186180036989,15.3991686037548,15.3750999994167,15.01611666575,15.5519249993333,15.4540583325,17.9866916658333,22.1178833323333,24.6154249995,25.3539333850833,27.9945916666667,30.4069,30.9498333333333,31.7332485981559,32.27,34.5688083333333,36.5961833333333,38.9507583333333,39.5672575,40.2117391666667,40.2783183333333,41.7941683333333,43.8921158333333,46.9056516666667,49.0854,52.1416666666667,55.8066666666667,57.888,58.15004,59.5126583333333,64.327475,68.9332333333333,68.874875,68.598275,69.0390666666667,69.6492916666667,74.1524,81.8626583333333,78.103235,77.6414083333333,77.9469083333333,78.4680916666667,80.4375416666667,83.4662019166667,84.4535225,84.8713916666667,85.08376325,91.7454544396961
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Barbados,BRB,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.73809916726191,2.000000001,2.000000001,2.000000001,1.97487615196877,1.92128071035726,1.95922053743668,2.05323091078878,2.0188665976,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00036411125,0.00115209666666667,0.00132298766666667,0.00260205495833333,0.004612762,0.0249295329166667,0.087675,0.139,0.179091666666667,0.205127083333333,0.21602575,0.215382,0.214456416666667,0.214607833333333,0.21363975,0.279304921788469,0.297851,0.497463333333333,0.833689833333333,0.88800525,1.02241025,1.59259883333333,1.98956283333333,1.93234166666667,2.03760833333333,2.09178333333333,2.439575,2.538675,2.6261
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belgium,BEL,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,49.0569774216899,44.0145833323333,38.976499999,38.951499999,36.7789166656667,38.6051666656667,35.842749999,31.4920833323333,29.3186666656667,29.24166666575,37.1292499991667,45.6905833323333,51.1316666658333,57.7839166664167,59.378,44.6719166666667,37.3340833333333,36.7683333333333,39.404,33.4179166666667,34.14825,32.1495,34.5965208333333,33.4564975,29.4800166666667,30.9615133333333,35.7738908333333,36.2986408333333,0.938283072395239,1.08270508132601,1.11653308564468,1.05755899623965,0.884047927184961,0.803921647747605,0.803800192161416,0.796432730949096,0.729672399984088,0.679922680042729,0.716957702016136,0.754308990105979,0.718413898653322,0.778338120416812,0.752945122702002,0.752728196932591,0.901296423367096,0.903421436257288,0.88520550826938,0.846772667108096,0.893276257067393,0.875506396987983,0.845494138890436,0.949623753156941
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belize,BLZ,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.44841166699603,1.66667000066667,1.66667000066667,1.66667000066667,1.64368211813437,1.60156184612003,1.63268378119723,1.71092678407905,1.80804370464356,2.22567313165156,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
